Mountain Hardwear Phantom 0 (Long), $610.00, 1247 gm 44.0 oz 2.75 lb, 0 F-18 C, 800 Down, 62", , 13" x 8", Long: Fits up to 6'6"
Mountain Hardwear Lamina 0 (Short), $210.00, 1531 gm 54.0 oz 3.38 lb, 0 F-18 C, Synth, 64", , 18" x 8.5", Short: Fits up to 5'6"
Mountain Hardwear Lamina 0 (Regular), $220.00, 1644 gm 58.0 oz 3.63 lb, 0 F-18 C, Synth, 64", , 18" x 8.5", Regular: Fits up to 6'
Mountain Hardwear Lamina 0 (Long), $240.00, 1758 gm 62.0 oz 3.88 lb, 0 F-18 C, Synth, 66", , 18" x 8.5", Long: Fits up to 6'6"
Mountain Hardwear Lamina -30 (Regular), $300.00, 2296 gm 81.0 oz 5.06 lb, -30 F-34 C, Synth, 64", , 19" x 10", Regular: Fits up to 6'
Mountain Hardwear Lamina -30 (Long), $320.00, 2438 gm 86.0 oz 5.38 lb, -30 F-34 C, Synth, 66", , 19" x 10", Long: Fits up to 6'6"
Mountain Hardwear Lamina -15 (Regular), $280.00, 2070 gm 73.0 oz 4.56 lb, -15 F-26 C, Synth, 64", , 18" x 9", Regular: Fits up to 6'
Mountain Hardwear Lamina -15 (Long), $300.00, 2211 gm 78.0 oz 4.88 lb, -15 F-26 C, Synth, 66", , 18" x 9", Long: Fits up to 6'6"
Mountain Hardwear Ghost (Regular), $1000.00, 2155 gm 76.0 oz 4.75 lb, -40 F-40 C, 800 Down, 60", , 15" x 10", Regular: Fits up to 6'
Mountain Hardwear Ghost (Long), $1050.00, 2296 gm 81.0 oz 5.06 lb, -40 F-40 C, 800 Down, 62", , 15" x 10", Long: Fits up to 6'6"
Mountain Hardwear Wraith (Regular), $900.00, 1984 gm 70.0 oz 4.38 lb, -20 F-29 C, 800 Down, 60", , 15" x 10", Regular: Fits up to 6'
Mountain Hardwear Wraith (Long), $950.00, 2126 gm 75.0 oz 4.69 lb, -20 F-29 C, 800 Down, 62", , 15" x 10", Long: Fits up to 6'6"
Mountain Hardwear UltraLamina 0 (Regular), $280.00, 1446 gm 51.0 oz 3.19 lb, 0 F-18 C, Synth, 60", , 15" x 8.5", Regular: Fits up to 6'
Mountain Hardwear UltraLamina 0 (Long), $295.00, 1559 gm 55.0 oz 3.44 lb, 0 F-18 C, Synth, 62", , 15" x 8.5", Long: Fits up to 6'6"
Mountain Hardwear Banshee (Regular), $800.00, 1588 gm 56.0 oz 3.50 lb, 0 F-18 C, 800 Down, 60", , 13" x 9", Regular: Fits up to 6'
Mountain Hardwear Banshee (Long), $850.00, 1673 gm 59.0 oz 3.69 lb, 0 F-18 C, 800 Down, 62", , 13" x 9", Long: Fits up to 6'6"
Mountainsmith Monarch 0, $119.95, 2098 gm 74.0 oz 4.63 lb, 0 F-18 C, Synth, 65", , 16" x 10", Long: Fits up to 6'4"
