Exped SynMat 7 - Medium, $129.00, 860 gm30.3 oz1.90 lb, R 4.9, 72" L20" W2.8" D, 8" x 6", Inflatable
Exped SynMat 7 - Long Wide, $139.00, 1100 gm38.8 oz2.42 lb, R 4.9, 77.5" L26" W2.8" D, 11" x 6", Inflatable
Exped SynMat 9 - Long Wide, $169.00, 1170 gm41.3 oz2.58 lb, R 6, 77.5" L26" W3.5" D, 11" x 6.3", Inflatable
Exped SynMat Basic - Small, $85.00, 625 gm22.0 oz1.38 lb, R 4, 64" L20" W3" D, 8.3" x 4.7", Inflatable
Exped SynMat Basic - Medium, $109.00, 720 gm25.4 oz1.59 lb, R 4, 72" L20" W3" D, 9.4" x 4.3", Inflatable
Exped SynMat Basic - Long Wide, $119.00, 940 gm33.2 oz2.07 lb, R 4, 75" L26" W3" D, 9.8" x 5.7", Inflatable
Exped ComfortFoam Mat, $109.00, 1270 gm44.8 oz2.80 lb, R 4.9, 70" L20" W2.75" D, 12" x 6", Self Inflating Foam
Exped AirMat Basic 7.5 - Small, $59.00, 500 gm17.6 oz1.10 lb, R 0.7, 64" L20" W3" D, 8.3" x 2.8", Inflatable
Exped AirMat Basic 7.5 - Medium, $69.00, 561 gm19.8 oz1.24 lb, R 0.7, 72" L20" W3" D, 8.3" x 4", Inflatable
Exped AirMat Basic 7.5 - Long Wide, $109.00, 740 gm26.1 oz1.63 lb, R 0.7, 75" L26" W3" D, 10" x 4", Inflatable
Exped AirMat Basic UL 7.5 - Small, $79.00, 320 gm11.3 oz0.71 lb, R 0.7, 64" L20" W3" D, 8.3" x 2.8", Inflatable
Exped AirMat Basic UL 7.5 - Medium, $89.00, 354 gm12.5 oz0.78 lb, R 0.7, 72" L20" W3" D, 8.3" x 3", Inflatable
Exped AirMat Basic UL 7.5 - Long Wide, $119.00, 440 gm15.5 oz0.97 lb, R 0.7, 75" L26" W3" D, 10" x 4", Inflatable
Exped SIM Comfort 7.5 - Long Wide, $149.00, 1661 gm58.6 oz3.66 lb, R 6.4, 77.5" L26" W2.9" D, 27" x 6", Self Inflating Foam
Exped SIM Comfort 10 - Long Wide, $179.00, 1910 gm67.4 oz4.21 lb, R 9.5, 77.5" L26" W4" D, 28" x 7", Self Inflating Foam
Exped MegaMat - Long Extra Wide, $219.00, 2580 gm91.0 oz5.69 lb, R 9.5, 77.5" L30" W4" D, 31" x 9.8", Self Inflating Foam
Kelty Alpine Pad, $98.95, 1077 gm38.0 oz2.38 lb, R 7.68, 72" L20" W1.75" D, 22" x 7", Self Inflating Foam
Kelty Backpacker Pad, $74.95, 680 gm24.0 oz1.50 lb, R 3.98, 72" L20" W1" D, 22" x 6", Self Inflating Foam
Kelty Basecamp Pad, $85.95, 2041 gm72.0 oz4.50 lb, R 8.11, 78" L25" W2.5" D, 27" x 8", Self Inflating Foam
Kelty Camper Pad, $64.95, 907 gm32.0 oz2.00 lb, R 5.67, 72" L20" W1.5" D, 22" x 7", Self Inflating Foam
Kelty Double Wide Basecamp Pad, $159.95, 4224 gm149.0 oz9.31 lb, R 8.11, 78" L51" W2.5" D, 27" x 12", Self Inflating Foam
Kelty Recluse 2.5 I, $94.95, 1077 gm38.0 oz2.38 lb, R 2.52, 78" L23" W2.5" D, 11" x 6", Inflatable
Kelty Recluse 2.5 NI, $84.95, 879 gm31.0 oz1.94 lb, R 1.05, 78" L23" W2.5" D, 11" x 6", Inflatable
Kelty Recluse 3.0 I, $99.95, 1247 gm44.0 oz2.75 lb, R 2.9, 78" L25" W3" D, 12.5" x 7", Inflatable
Kelty Women's Backpacker Pad, $74.95, 737 gm26.0 oz1.63 lb, R 5.61, 66" L20" W1.5" D, 22" x 6", Self Inflating Foam
Klymit Inertia X Frame, $99.95, 258 gm9.1 oz0.57 lb, R 1, 72" L18" W1.5" D, 6" x 3", Inflatable
Klymit Inertia XL, $129.95, 476 gm16.8 oz1.05 lb, R 1, 77" L25" W1.5" D, 9" x 4", Inflatable
Klymit Static V, $59.95, 514 gm18.1 oz1.13 lb, R 1, 72" L23" W2.5" D, 9" x 5", Inflatable
Klymit Inertia X-Lite, $89.95, 173 gm6.1 oz0.38 lb, R 1, 42" L18" W1.5" D, 6" x 1.5", Inflatable
Klymit Inertia X-Frame Recon, $99.95, 275 gm9.7 oz0.61 lb, R 1, 72" L18" W1.5" D, 6" x 3", Inflatable
