Exped Lightning 60, , $249.00, 1100 gm 38.8 oz 2.43 lb, 3661 cu. in.60 liters, ~1-1 lbs, Internal Frame
Exped Torrent 50, Waterproof with roll top closure., $159.00, 1000 gm 35.3 oz 2.20 lb, 3051 cu. in.50 liters, ~1-1 lbs, Frameless
GoLite Men's Quest 65, , $134.99, 1701 gm 60.0 oz 3.75 lb, 3965 cu. in.65 liters, ~1-60 lbs, Internal Frame
GoLite Men's Quest 80, , $149.99, 1729 gm 61.0 oz 3.81 lb, 4880 cu. in.80 liters, ~1-60 lbs, Internal Frame
GoLite Jam 50, , $109.99, 840 gm 29.6 oz 1.85 lb, 3050 cu. in.50 liters, ~1-30 lbs, Frameless
GoLite Jam 70, , $119.99, 880 gm 31.0 oz 1.94 lb, 4270 cu. in.70 liters, ~1-30 lbs, Frameless
Granite Gear Aji V.C. 50, , $229.95, 1162 gm 41.0 oz 2.56 lb, 3000 cu. in.50 liters, ~1-35 lbs, Internal Frame
Granite Gear Blaze A.C. 60, , $239.95, 1304 gm 46.0 oz 2.88 lb, 3660 cu. in.60 liters, ~1-35 lbs, Internal Frame
Granite Gear Crown V.C. 60, , $199.95, 964 gm 34.0 oz 2.13 lb, 3660 cu. in.60 liters, ~1-35 lbs, Internal Frame
Granite Gear Escape A.C. 40, , $229.95, 1361 gm 48.0 oz 3.00 lb, 2500 cu. in.40 liters, ~1-35 lbs, Internal Frame
Granite Gear Escape A.C. 60, , $249.95, 1417 gm 50.0 oz 3.13 lb, 3660 cu. in.60 liters, ~1-35 lbs, Internal Frame
Granite Gear Leopard A.C. 58, , $249.95, 1503 gm 53.0 oz 3.31 lb, 3540 cu. in.58 liters, ~1-35 lbs, Internal Frame
Granite Gear Leopard V.C. 46, , $229.95, 1247 gm 44.0 oz 2.75 lb, 2800 cu. in.46 liters, ~1-35 lbs, Internal Frame
Granite Gear Nimbus Meridian, , $314.95, 1588 gm 56.0 oz 3.50 lb, 3800 cu. in.60 liters, ~1-40 lbs, Internal Frame
Granite Gear Nimbus Trace 62, , $299.95, 1814 gm 64.0 oz 4.00 lb, 3800 cu. in.62 liters, ~1-40 lbs, Internal Frame
Granite Gear Virga, , $125.95, 539 gm 19.0 oz 1.19 lb, 3200 cu. in.52 liters, ~1-20 lbs, Frameless
Gregory Whitney 95 (SM.), , $429.00, 2920 gm 103.0 oz 6.44 lb, 5309 cu. in.87 liters, ~1-60 lbs, Internal Frame
Gregory Whitney 95 (MD.), , $429.00, 2977 gm 105.0 oz 6.56 lb, 5797 cu. in.95 liters, ~1-60 lbs, Internal Frame
