Eureka Dual Temp 20/40° (Long), $129.90, 1673 gm 59.0 oz 3.69 lb, 20 F-6.6 C, Synth, 66", 18" x 9.5", Long: Fits up to 6'6"
Eureka Dual Temp 30/50° (Regular), $109.90, 1276 gm 45.0 oz 2.81 lb, 30 F-1.1 C, Synth, 66", 17.5" x 8.5", Regular: Fits up to 6'
Eureka Dual Temp 30/50° (Long), $119.90, 1361 gm 48.0 oz 3.00 lb, 30 F-1.1 C, Synth, 66", 17.5" x 9", Long: Fits up to 6'6"
Eureka Silver City 30° (Regular), $109.90, 1021 gm 36.0 oz 2.25 lb, 30 F-1.1 C, Synth, 64", 14" x 7.5", Regular: Fits up to 6'
Eureka Silver City 30° (Long), $119.90, 1134 gm 40.0 oz 2.50 lb, 30 F-1.1 C, Synth, 68", 14" x 7.5", Long: Fits up to 6'6"
Exped Ultralite 500 (Regular), $399.00, 740 gm 26.1 oz 1.63 lb, 32 F0 C, 840 Down, 57.5", 8.7" x 7.9", Regular: Fits up to 5'10"
Exped Ultralite 500 (Long), $429.00, 810 gm 28.6 oz 1.79 lb, 32 F0 C, 840 Down, 57.5", 8.7" x 8.7", Long: Fits up to 6'6"
Exped Comfort 400 (Medium), $378.95, 840 gm 29.6 oz 1.85 lb, 32 F0 C, 800 Down, 70", 9.5" x 8.7", Regular: Fits up to 5'10"
Exped Comfort 400 (Long), $398.95, 910 gm 32.1 oz 2.01 lb, 32 F0 C, 800 Down, 70", 10.2" x 8.7", Long: Fits up to 6'6"
Exped Dreamwalker 450 (Regular), $388.95, 879 gm 31.0 oz 1.94 lb, 35 F1.6 C, 750 Down, 59", 11" x 7", Regular: Fits up to 6'3"
Exped Dreamwalker 450 (Long), $438.95, 1162 gm 41.0 oz 2.56 lb, 35 F1.6 C, 750 Down, 71", 12" x 7", Long: Fits up to 6'11"
Exped DreamWalker 650 (Regular), $468.95, 1090 gm 38.4 oz 2.40 lb, 25 F-3.9 C, 750 Down, 59", 12.6" x 8.7", Regular: Fits up to 6'3"
