Granite Gear Escape A.C. 60 Ki, , $249.95, 1417 gm 50.0 oz 3.13 lb, 3660 cu. in.60 liters, ~1-35 lbs, Internal Frame
Granite Gear Leopard A.C. 58 Ki, , $249.95, 1503 gm 53.0 oz 3.31 lb, 3540 cu. in.58 liters, ~1-35 lbs, Internal Frame
Granite Gear Leopard V.C. 46 Ki, , $229.95, 1247 gm 44.0 oz 2.75 lb, 2800 cu. in.46 liters, ~1-35 lbs, Internal Frame
Granite Gear Nimbus Meridian Ki, , $314.95, 1588 gm 56.0 oz 3.50 lb, 3800 cu. in.60 liters, ~1-40 lbs, Internal Frame
Granite Gear Nimbus Trace 62 Ki, , $299.95, 1814 gm 64.0 oz 4.00 lb, 3800 cu. in.62 liters, ~1-40 lbs, Internal Frame
Granite Gear Vapor Flash Ki, , $209.95, 1389 gm 49.0 oz 3.06 lb, 3200 cu. in.52.5 liters, ~1-30 lbs, Internal Frame
Gregory Deva 85 (XS.), , $419.00, 2608 gm 92.0 oz 5.75 lb, 4882 cu. in.80 liters, ~1-60 lbs, Internal Frame
Gregory Deva 85 (SM.), , $419.00, 2807 gm 99.0 oz 6.19 lb, 5187 cu. in.85 liters, ~1-60 lbs, Internal Frame
Gregory Deva 85 (MD.), , $419.00, 2892 gm 102.0 oz 6.38 lb, 5492 cu. in.90 liters, ~1-60 lbs, Internal Frame
Gregory Deva 70 (XS.), , $349.00, 2523 gm 89.0 oz 5.56 lb, 4150_68 cu. in. liters, ~1-50 lbs, Internal Frame
Gregory Deva 70 (SM.), , $349.00, 2608 gm 92.0 oz 5.75 lb, 4272_70 cu. in. liters, ~1-50 lbs, Internal Frame
Gregory Deva 70 (MD.), , $349.00, 2693 gm 95.0 oz 5.94 lb, 4455_73 cu. in. liters, ~1-50 lbs, Internal Frame
Gregory Deva 60 (XS.), , $329.00, 2410 gm 85.0 oz 5.31 lb, 3539 cu. in.58 liters, ~1-50 lbs, Internal Frame
Gregory Deva 60 (SM.), , $329.00, 2495 gm 88.0 oz 5.50 lb, 3661 cu. in.60 liters, ~1-50 lbs, Internal Frame
Gregory Deva 60 (MD.), , $329.00, 2580 gm 91.0 oz 5.69 lb, 3845 cu. in.63 liters, ~1-50 lbs, Internal Frame
Gregory J63 (XS.), , $229.00, 1332 gm 47.0 oz 2.94 lb, 3722 cu. in.61 liters, ~1-1 lbs, Internal Frame
Gregory J63 (SM.), , $229.00, 1417 gm 50.0 oz 3.13 lb, 3845 cu. in.63 liters, ~1-1 lbs, Internal Frame
Gregory J63 (MD.), , $229.00, 1503 gm 53.0 oz 3.31 lb, 3967 cu. in.65 liters, ~1-1 lbs, Internal Frame
Gregory J53 (XS.), , $199.00, 1247 gm 44.0 oz 2.75 lb, 3112 cu. in.51 liters, ~1-40 lbs, Internal Frame
Gregory J53 (SM.), , $199.00, 1361 gm 48.0 oz 3.00 lb, 3234 cu. in.53 liters, ~1-40 lbs, Internal Frame
Gregory J53 (MD.), , $199.00, 1446 gm 51.0 oz 3.19 lb, 3356 cu. in.55 liters, ~1-40 lbs, Internal Frame
Gregory J38 (XS.), , $179.00, 1162 gm 41.0 oz 2.56 lb, 2197 cu. in.36 liters, ~1-35 lbs, Internal Frame
Gregory J38 (SM.), , $179.00, 1247 gm 44.0 oz 2.75 lb, 2319 cu. in.38 liters, ~1-35 lbs, Internal Frame
Gregory J38 (MD.), , $179.00, 1332 gm 47.0 oz 2.94 lb, 2441 cu. in.40 liters, ~1-35 lbs, Internal Frame
Gregory Cairn 68 (XS.), , $299.00, 1729 gm 61.0 oz 3.81 lb, 3967 cu. in.65 liters, ~1-45 lbs, Internal Frame
Gregory Cairn 68 (SM.), , $299.00, 1786 gm 63.0 oz 3.94 lb, 4089 cu. in.67 liters, ~1-45 lbs, Internal Frame
Gregory Cairn 68 (MD.), , $299.00, 1843 gm 65.0 oz 4.06 lb, 4211 cu. in.69 liters, ~1-45 lbs, Internal Frame
Gregory Cairn 58 (XS.), , $279.00, 1673 gm 59.0 oz 3.69 lb, 3417 cu. in.56 liters, ~1-45 lbs, Internal Frame
Gregory Cairn 58 (SM.), , $279.00, 1729 gm 61.0 oz 3.81 lb, 3539 cu. in.58 liters, ~1-45 lbs, Internal Frame
Gregory Cairn 58 (MD.), , $279.00, 1786 gm 63.0 oz 3.94 lb, 3661 cu. in.60 liters, ~1-45 lbs, Internal Frame
Gregory Cairn 48 (XS.), , $259.00, 1616 gm 57.0 oz 3.56 lb, 2807 cu. in.46 liters, ~1-45 lbs, Internal Frame
Gregory Cairn 48 (SM.), , $259.00, 1673 gm 59.0 oz 3.69 lb, 2929 cu. in.48 liters, ~1-45 lbs, Internal Frame
Gregory Cairn 48 (MD.), , $259.00, 1729 gm 61.0 oz 3.81 lb, 3051 cu. in.50 liters, ~1-45 lbs, Internal Frame
Gregory Sage 55 (XS.), , $199.00, 1474 gm 52.0 oz 3.25 lb, 3112 cu. in.51 liters, ~1-35 lbs, Internal Frame
Gregory Sage 55 (SM.), , $199.00, 1531 gm 54.0 oz 3.38 lb, 3356 cu. in.55 liters, ~1-35 lbs, Internal Frame
Gregory Sage 55 (MD.), , $199.00, 1644 gm 58.0 oz 3.63 lb, 3600 cu. in.59 liters, ~1-35 lbs, Internal Frame
Gregory Sage 45 (XS.), , $189.00, 1417 gm 50.0 oz 3.13 lb, 2502 cu. in.41 liters, ~1-30 lbs, Internal Frame
Gregory Sage 45 (SM.), , $189.00, 1474 gm 52.0 oz 3.25 lb, 2746 cu. in.45 liters, ~1-30 lbs, Internal Frame
Gregory Sage 45 (MD.), , $189.00, 1531 gm 54.0 oz 3.38 lb, 2990 cu. in.49 liters, ~1-30 lbs, Internal Frame
Gregory Maya 42 (SM.) (2014), , $169.00, 1134 gm 40.0 oz 2.50 lb, 2563 cu. in.42 liters, ~1-30 lbs, Internal Frame
Gregory Maya 42 (MD.) (2014), , $169.00, 1219 gm 43.0 oz 2.69 lb, 2746 cu. in.45 liters, ~1-30 lbs, Internal Frame
Kelty Women's PK 50 (S/M), , $199.95, 1361 gm 48.0 oz 3.00 lb, 2930 cu. in.48 liters, ~1-1 lbs, Internal Frame
Kelty Women's Coyote 75, , $209.95, 2268 gm 80.0 oz 5.00 lb, 4500 cu. in.74 liters, ~1-1 lbs, Internal Frame
Kelty Women's Red Cloud 80, , $224.95, 2466 gm 87.0 oz 5.44 lb, 5100 cu. in.84 liters, ~1-1 lbs, Internal Frame
Kelty Women's Lakota 60, , $179.95, 1588 gm 56.0 oz 3.50 lb, 3700 cu. in.61 liters, ~1-1 lbs, Internal Frame
Kelty Women's Pawnee 50, , $169.95, 1531 gm 54.0 oz 3.38 lb, 3000 cu. in.49 liters, ~1-1 lbs, Internal Frame
Kelty Women's Redwing 40, , $114.95, 1304 gm 46.0 oz 2.88 lb, 2400 cu. in.40 liters, ~1-1 lbs, Internal Frame
Lowe Alpine Elbrus 65:75, , $244.95, 2211 gm 78.0 oz 4.88 lb, 4575 cu. in.75 liters, ~1-66 lbs, Internal Frame
Lowe Alpine Cerro Torre ND 60:80, , $319.95, 2551 gm 90.0 oz 5.63 lb, 4880 cu. in.80 liters, ~1-70 lbs, Internal Frame
Lowe Alpine TFX Cerro Torre ND 55:70, , $329.95, 2580 gm 91.0 oz 5.69 lb, 4300 cu. in.70 liters, ~1-70 lbs, Internal Frame
Lowe Alpine Nanon 40:45, , $229.95, 1134 gm 40.0 oz 2.50 lb, 2700 cu. in.44.24 liters, ~1-1 lbs, Internal Frame
Lowe Alpine Elbrus ND 55:65, , $239.95, 2126 gm 75.0 oz 4.69 lb, 3999 cu. in.65 liters, ~1-70 lbs, Internal Frame
Lowe Alpine Cholatse II ND 50:60, , $184.95, 1503 gm 53.0 oz 3.31 lb, 3670 cu. in.60 liters, ~1-40 lbs, Internal Frame
Lowe Alpine Alpamayo ND 55:75, , $294.95, 2325 gm 82.0 oz 5.13 lb, 4576 cu. in.75 liters, ~1-70 lbs, Internal Frame
Marmot Athena 48 (SM.) (2014), , $179.00, 1700 gm 60.0 oz 3.75 lb, 2930 cu. in.48 liters, ~1-1 lbs, Internal Frame
